职位名称,公司,部门,工作地点,学历要求,工作年限,岗位层级,岗位描述,岗位要求,招聘人数,HR,发布日期,更新日期,有效日期,职位状态,职位链接
客户端Leader-点点（AI产品）,小红书,,"北京市,上海市",本科及以上,不限,,"岗位概述
小红书旗下独立AI搜索产品“点点”正在快速发展，我们诚邀资深客户端技术专家加入，担任客户端研发Leader，带领团队打造高品质iOS/Android客户端，支持多模态交互（文字、语音、拍照提问、视频回复）、实时搜索等核心功能，帮助亿万用户高效获取真实生活经验。

主要职责
- 负责点点App的iOS/Android客户端架构设计、性能优化与技术迭代；
- 带领10-20人客户端团队，进行需求分析、开发规划、代码评审与人才梯队建设；
- 推动多模态交互、AI驱动功能（如拍照搜索、视频解答）的客户端实现，提升用户体验；
- 跨团队协作（产品、后端、AI算法），确保产品快速迭代与稳定上线；
- 关注前沿移动技术趋势，驱动团队技术创新与最佳实践落地。","- 计算机相关专业本科及以上学历，5年以上移动客户端开发经验，3年以上团队管理经验；
- 精通iOS（Objective-C/Swift）或Android（Kotlin/Java）开发，具备完整大型App架构经验；
- 有AI相关产品、多模态交互或搜索类App开发经验者优先；
- 强烈的产品意识和技术驱动力，具备优秀沟通与跨部门协作能力；
- 有过团队搭建经验，关于人才的选育用留汰累积了一定的方法论。

岗位吸引点
- 前沿AI产品：参与小红书重点布局的独立AI搜索App“点点”，深度融入大模型与多模态技术，影响亿级用户生活搜索体验；
- 高速成长机会：产品处于快速迭代阶段，关键岗位直接影响技术方向与团队建设，广阔发展空间；
- 顶级资源支持：小红书成熟社区生态+海量真实内容积累，技术挑战性强，公司内横向技术牛人投入支持；
- 优厚福利待遇：行业领先薪酬（竞争力包+期权激励）、北京/上海核心地段办公、免费三餐，年轻活力团队氛围。",5,谢静,,,,,https://hunter.xiaohongshu.com/position-detail/18863
客户端开发工程师-点点,小红书,,"北京市,上海市",本科及以上,不限,,"岗位概述
小红书旗下独立AI搜索产品“点点”正在快速发展，我们诚邀资深客户端技术专家加入，担任客户端研发Leader，带领团队打造高品质iOS/Android客户端，支持多模态交互（文字、语音、拍照提问、视频回复）、实时搜索等核心功能，帮助亿万用户高效获取真实生活经验。

主要职责
- 负责点点App的iOS/Android客户端架构设计、性能优化与技术迭代；
- 带领10-20人客户端团队，进行需求分析、开发规划、代码评审与人才梯队建设；
- 推动多模态交互、AI驱动功能（如拍照搜索、视频解答）的客户端实现，提升用户体验；
- 跨团队协作（产品、后端、AI算法），确保产品快速迭代与稳定上线；
- 关注前沿移动技术趋势，驱动团队技术创新与最佳实践落地。","- 计算机相关专业本科及以上学历，5年以上移动客户端开发经验，3年以上团队管理经验；
- 精通iOS（Objective-C/Swift）或Android（Kotlin/Java）开发，具备完整大型App架构经验；
- 有AI相关产品、多模态交互或搜索类App开发经验者优先；
- 强烈的产品意识和技术驱动力，具备优秀沟通与跨部门协作能力；
- 有过团队搭建经验，关于人才的选育用留汰累积了一定的方法论。

岗位吸引点
- 前沿AI产品：参与小红书重点布局的独立AI搜索App“点点”，深度融入大模型与多模态技术，影响亿级用户生活搜索体验；
- 高速成长机会：产品处于快速迭代阶段，关键岗位直接影响技术方向与团队建设，广阔发展空间；
- 顶级资源支持：小红书成熟社区生态+海量真实内容积累，技术挑战性强，公司内横向技术牛人投入支持；
- 优厚福利待遇：行业领先薪酬（竞争力包+期权激励）、北京/上海核心地段办公、免费三餐，年轻活力团队氛围。",5,谢静,,,,,https://hunter.xiaohongshu.com/position-detail/18862
鸿蒙资深工程师-稳定性方向,小红书,,"北京市,上海市",本科及以上,5-10年,,"1、负责鸿蒙应用稳定性、性能、热修等基建工作；
2、参与性能监控系统建设和维护，从开发阶段、测试阶段、灰度阶段、线上阶段多个维度保障应用的稳定流畅运行。","1、深入理解鸿蒙或Android系统，对系统源码有深度挖掘；
2、了解ArkTS虚拟机运行机制，熟悉鸿蒙编译产物的构建流程和运行时加载机制，具备字节码插桩、静态分析、动态分析和性能优化的能力
3、具有良好的编程风格，扎实的编程和数据结构算法基础，具有较强的问题发现能力； 
4、具有较强的分析和解决问题的能力，热爱互联网新技术，了解并探索业界技术动向；
5、有强烈的责任心和团队精神，善于沟通和合作；
6、有大型互联网应用性能优化经验者优先。",1,樊名雪,,,,,https://hunter.xiaohongshu.com/position-detail/18858
AI 产品投放专家,小红书,,上海市,本科及以上,3-5年,,"工作职责
1. 投放策略制定：负责小红书 AI 对话类产品在信息流及厂商渠道的投放运营，对业务结果负责；能对投放数据进行分析与诊断，快速调整策略，持续优化成本结构与 ROI
2. 投放执行与复盘：跟踪所负责渠道的投放表现，结合目标指标进行复盘与优化，探索新的获客与转化玩法；协助识别投放过程中的风险点与机会点
3. 市场与竞品洞察：持续收集并分析行业及竞品投放策略与打法，探索并验证新的营销模式，沉淀并迭代投放方法论","任职资格
1. 3年及以上线上投放相关经验，有多平台媒介矩阵操盘经验优先
2. 有较强的业务闭环意识和跨部门协调、推动落地能力者优先；
3. 对 AI 产品/AI 行业有深刻洞察者优先；有团队管理经验者优先",1,邵佳怡,,,,,https://hunter.xiaohongshu.com/position-detail/18836
小红书 AI 产品经理,小红书,,"上海市,深圳市",本科及以上,3-5年,,"工作职责
1. 参与小红书 AI Chatbot 独立端的规划与设计，打造“小红书的 AI”；
2. 独立负责对话模块，通过用户研究与场景探索，优化回答形态和信息呈现；
3. 设计创新功能，探索陪伴用户成长的 AI 产品方向。","任职要求
1. 3 年以上互联网产品经验，熟悉用户端产品；
2. 具备同理心与用户洞察力，注重体验细节打磨；
3. 逻辑清晰，善于定位问题并推进复杂项目；
4. 对 AI 产品有热情与实践经验，熟悉常见应用场景优先。",1,王茜,,,,,https://hunter.xiaohongshu.com/position-detail/17502
大商业技术招聘专项,小红书,,"上海市,北京市,杭州市",本科及以上,5-10年,,交流,交流,5,赵悦,,,,,https://hunter.xiaohongshu.com/position-detail/16303
多媒体SDK研发工程师-网络方向,小红书,,"北京市,上海市",本科及以上,3-5年,,"岗位描述：
专注跨平台多媒体SDK网络传输模块研发与全链路优化，面向直播、RTC、短视频场景，打造低延迟、高稳定性、抗弱网的SDK网络解决方案。

岗位职责:
1. 设计开发音视频SDK网络核心模块，支持跨平台适配，演进优化RTMP、Quic、RTP等传输协议；
2. 研发带宽预测、动态码率调整、拥塞控制算法等；优化弱网下丢包重传、FEC纠错等方案，结合CDN/边缘计算提升传输稳定性和流畅度；
3. 探索网络传输协议演进及前沿技术，工程化落地赋能业务。","1. 有多媒体SDK研发或网络传输优化经验优先；
2. 熟练掌握C/C++编程，熟悉跨平台开发环境，有直播、RTC等业务经验有限；
3. 网络基础扎实，精通Quic/WebRTC /RTP等协议，有定制开发等经验有限；
4. 有弱网优化、拥塞控制、丢包恢复等算法落地经验有限。",3,林佳,,,,,https://hunter.xiaohongshu.com/position-detail/18818
多媒体算法工程师,小红书,,"北京市,上海市,深圳市",本科及以上,3-5年,,"1. 音视频核心技术方向算法研发，包括：视频增强处理、音视频编解码、创新视觉技术、音频音效算法以及传输算法；
2. 面向短视频、直播、RTC、3D互动内容等场景，完成算法设计及工程化落地，优化内容消费流畅度、清晰度、音频纯净度、交互体验等关键指标，提升用户核心体验；
3. 参与算法评测体系搭建（包括视频增强效果、编码效率、音效质量评估等），保障算法的实现质量。","1. 1~8年音视频相关算法研究经验；
2. 扎实的算法基础，熟悉音视频处理、常见多媒体协议、网络传输技术等；
3. 熟悉FFMPEG、WebRTC等开源项目经验优先，具备并行计算开发及调优经验优先；
4. 核心技能（满足1-2项重点方向）：视频增强与编解码、AIGC视觉生产、实时渲染、音频信号处理（降噪、空间音频、音质增强等）。",10,林佳,,,,,https://hunter.xiaohongshu.com/position-detail/18820
CDN开发工程师/架构师,小红书,,"北京市,上海市",本科及以上,1-3年,,"1.负责CDN接入平台相关开发工作，提供CDN标准化的接入、管理、治理能力；
2.参与CDN调度系统的架构设计和实现，包括一键切流、播控下发，httpDNS等功能的设计与实现；
3.建设CDN质量平台、CDN拨测平台，提供可信可迭代的细粒度质量评价体系，完善CDN容灾自愈机制；
4.持续进行CDN整体质量调优与异常排查，保障CDN服务的高质量与高可用性.","1.熟练掌握Golang/C++中至少一门语言，有大型项目开发经验；
2.具备良好的沟通能力、团队协作精神和问题解决能力；
3.有多媒体行业经验（点播、直播、图片）开发或运维背景者优先；
4.有CDN、PCDN、P2P、RTC相关研发经验优先，熟悉TCP，UDP，HTTP等网络传输协议，有网络协议优化排查等经验者优先。",2,林佳,,,,,https://hunter.xiaohongshu.com/position-detail/18632
智能客服算法负责人,小红书,,"上海市,北京市",硕士及以上,10年以上,,智能,智能,1,林佳,,,,,https://hunter.xiaohongshu.com/position-detail/17496
音视频策略算法工程师,小红书,,"北京市,上海市",本科及以上,3-5年,,"1、负责小红书视频点、直播相关算法策略设计与优化； 
2、负责精细化设计不同场景/人群的转码、分发、播放算法策略（ABR等），为用户提供端到端的个性化体验（画质与流畅）； 
3、负责设计和迭代基于视频内容的自适应处理和编码算法模型； 
4、与内外部团队合作，制定面向不同业务场景的点、直播优化策略，并推动落地。","1、本科及以上学历，计算机、通信、统计、数学、图像处理、多媒体等相关专业； 
2、具备较强策略抽象、数据分析和设计能力，能系统性的思考，制定解决方案，快速验证和优化上线； 
3、在以下一个或多个算法领域上有深度的理解和实践经验：流媒体、图像压缩、CV/NLP、推荐/搜索/广告、机器学习、控制论； 
4、积极乐观，责任心强，工作认真细致，具备良好的团队合作精神、较强的沟通能力和学习能力。",1,林佳,,,,,https://hunter.xiaohongshu.com/position-detail/18714
